Use Case,Model,Iteration ID,Prompt Tokens,Cached Tokens,Output Tokens,Thinking Tokens,Total Tokens
Build CC propensity model,gemini-2.5-flash-lite,2026-06-19_13-20-02,700,0,1670,0,2370
propensity model,gemini-2.5-flash-lite,2026-06-19_14-49-22,494,0,1050,0,1544
