decile,n,positives,rate,lift,cum_capture
1,10000,1571,0.1571,3.073,0.3073
2,10000,832,0.0832,1.628,0.4701
3,10000,608,0.0608,1.189,0.589
4,10000,552,0.0552,1.08,0.697
5,10000,507,0.0507,0.992,0.7962
6,10000,356,0.0356,0.696,0.8658
7,10000,239,0.0239,0.468,0.9126
8,10000,188,0.0188,0.368,0.9493
9,10000,170,0.017,0.333,0.9826
10,10000,89,0.0089,0.174,1.0
