decile,n,positives,rate,lift,cum_capture
1,10000,1577,0.1577,3.085,0.3085
2,10000,860,0.086,1.682,0.4767
3,10000,589,0.0589,1.152,0.5919
4,10000,576,0.0576,1.127,0.7046
5,10000,467,0.0467,0.914,0.796
6,10000,362,0.0362,0.708,0.8668
7,10000,243,0.0243,0.475,0.9143
8,10000,180,0.018,0.352,0.9495
9,10000,175,0.0175,0.342,0.9838
10,10000,83,0.0083,0.162,1.0
