decile,n,positives,rate,lift,cum_capture
1,240,194,0.8083,8.981,0.8981
2,240,19,0.0792,0.88,0.9861
3,240,0,0.0,0.0,0.9861
4,240,0,0.0,0.0,0.9861
5,240,1,0.0042,0.046,0.9907
6,240,2,0.0083,0.093,1.0
7,240,0,0.0,0.0,1.0
8,240,0,0.0,0.0,1.0
9,240,0,0.0,0.0,1.0
10,240,0,0.0,0.0,1.0
