trial_id,algorithm,cv_score,oot_precision,oot_recall,oot_f1,oot_roc_auc,oot_pr_auc,oot_ks,oot_gini
11,XGBoost,0.91089,0.90698,0.72222,0.80412,0.98667,0.91735,0.92262,0.97334
12,XGBoost,0.91794,0.89385,0.74074,0.81013,0.98656,0.91452,0.92735,0.97313
17,XGBoost,0.91299,0.90909,0.74074,0.81633,0.98627,0.91418,0.9217,0.97254
2,LightGBM,0.91652,0.86702,0.75463,0.80693,0.98637,0.91378,0.92084,0.97274
14,XGBoost,0.91219,0.8982,0.69444,0.78329,0.98549,0.91359,0.9245,0.97098
7,LightGBM,0.9036,0.85,0.86574,0.8578,0.98592,0.91358,0.92084,0.97183
19,XGBoost,0.91965,0.88824,0.69907,0.78238,0.98685,0.9133,0.92628,0.97369
6,LightGBM,0.90875,0.86911,0.76852,0.81572,0.98457,0.91302,0.91941,0.96914
15,XGBoost,0.90705,0.88462,0.74537,0.80905,0.98498,0.91286,0.92084,0.96997
1,LightGBM,0.90337,0.84475,0.85648,0.85057,0.98695,0.91191,0.92404,0.9739
13,XGBoost,0.90884,0.8895,0.74537,0.81108,0.98552,0.91154,0.91845,0.97103
10,XGBoost,0.91565,0.88571,0.71759,0.79284,0.98578,0.91143,0.92033,0.97157
5,LightGBM,0.90721,0.83645,0.8287,0.83256,0.98605,0.91135,0.92313,0.97209
16,XGBoost,0.9104,0.87931,0.70833,0.78462,0.98603,0.91101,0.92277,0.97207
18,XGBoost,0.91546,0.89412,0.7037,0.78756,0.98647,0.9108,0.91631,0.97295
8,LightGBM,0.91534,0.87368,0.76852,0.81773,0.98641,0.91043,0.92867,0.97281
0,LightGBM,0.91686,0.86702,0.75463,0.80693,0.98495,0.91027,0.91748,0.96989
4,LightGBM,0.91073,0.85646,0.8287,0.84235,0.98613,0.90873,0.92308,0.97226
3,LightGBM,0.91113,0.8439,0.80093,0.82185,0.98446,0.90734,0.91774,0.96892
9,LightGBM,0.91461,0.84466,0.80556,0.82464,0.98583,0.90723,0.92038,0.97165
