trial_id,algorithm,cv_score,oot_precision,oot_recall,oot_f1,oot_roc_auc,oot_pr_auc,oot_ks,oot_gini
16,HistGradientBoosting,0.12102,0.0,0.0,0.0,0.72096,0.1203,0.31568,0.44193
16,HistGradientBoosting,0.12102,0.0,0.0,0.0,0.72096,0.1203,0.31568,0.44193
14,HistGradientBoosting,0.12136,0.0,0.0,0.0,0.72128,0.12026,0.32028,0.44255
14,HistGradientBoosting,0.12136,0.0,0.0,0.0,0.72128,0.12026,0.32028,0.44255
7,XGBoost,0.12087,0.09105,0.68212,0.16066,0.7227,0.12017,0.32107,0.44539
7,XGBoost,0.12087,0.09105,0.68212,0.16066,0.7227,0.12017,0.32107,0.44539
4,LightGBM,0.12008,0.09207,0.67312,0.16198,0.72239,0.1201,0.31681,0.44478
4,LightGBM,0.12008,0.09207,0.67312,0.16198,0.72239,0.1201,0.31681,0.44478
10,XGBoost,0.12002,0.0918,0.66804,0.16142,0.72204,0.12002,0.31892,0.44408
10,XGBoost,0.12002,0.0918,0.66804,0.16142,0.72204,0.12002,0.31892,0.44408
5,LightGBM,0.12076,0.09132,0.67156,0.16077,0.72184,0.11992,0.31811,0.44369
5,LightGBM,0.12076,0.09132,0.67156,0.16077,0.72184,0.11992,0.31811,0.44369
1,LightGBM,0.12099,0.09152,0.6876,0.16154,0.723,0.1199,0.32226,0.44599
1,LightGBM,0.12099,0.09152,0.6876,0.16154,0.723,0.1199,0.32226,0.44599
15,HistGradientBoosting,0.12149,0.0,0.0,0.0,0.72081,0.11986,0.31718,0.44162
15,HistGradientBoosting,0.12149,0.0,0.0,0.0,0.72081,0.11986,0.31718,0.44162
17,HistGradientBoosting,0.12128,0.0,0.0,0.0,0.72093,0.11976,0.31848,0.44186
17,HistGradientBoosting,0.12128,0.0,0.0,0.0,0.72093,0.11976,0.31848,0.44186
12,HistGradientBoosting,0.12093,0.0,0.0,0.0,0.72103,0.11972,0.31665,0.44205
12,HistGradientBoosting,0.12093,0.0,0.0,0.0,0.72103,0.11972,0.31665,0.44205
3,LightGBM,0.12105,0.0921,0.66706,0.16185,0.72199,0.11964,0.31977,0.44398
3,LightGBM,0.12105,0.0921,0.66706,0.16185,0.72199,0.11964,0.31977,0.44398
11,XGBoost,0.11897,0.09601,0.62715,0.16652,0.71969,0.11925,0.31345,0.43938
11,XGBoost,0.11897,0.09601,0.62715,0.16652,0.71969,0.11925,0.31345,0.43938
13,HistGradientBoosting,0.12036,0.0,0.0,0.0,0.71975,0.11808,0.31325,0.4395
13,HistGradientBoosting,0.12036,0.0,0.0,0.0,0.71975,0.11808,0.31325,0.4395
9,XGBoost,0.11413,0.11582,0.46518,0.18547,0.70877,0.11703,0.29931,0.41754
9,XGBoost,0.11413,0.11582,0.46518,0.18547,0.70877,0.11703,0.29931,0.41754
2,LightGBM,0.11678,0.09503,0.61659,0.16468,0.71557,0.11684,0.30492,0.43115
2,LightGBM,0.11678,0.09503,0.61659,0.16468,0.71557,0.11684,0.30492,0.43115
0,LightGBM,0.11381,0.09875,0.56416,0.16808,0.70787,0.11627,0.302,0.41573
0,LightGBM,0.11381,0.09875,0.56416,0.16808,0.70787,0.11627,0.302,0.41573
8,XGBoost,0.11305,0.10381,0.51937,0.17304,0.70635,0.11577,0.29679,0.4127
8,XGBoost,0.11305,0.10381,0.51937,0.17304,0.70635,0.11577,0.29679,0.4127
6,XGBoost,0.10018,0.11652,0.33079,0.17233,0.68128,0.1035,0.26841,0.36256
6,XGBoost,0.10018,0.11652,0.33079,0.17233,0.68128,0.1035,0.26841,0.36256
